Area Name,Continent,Exits
A Bad Trip,-,Immortal Homes; The Grand City of Aylor
A Clearing in the Woods,-,Deathtrap Dungeon; Faerie Tales II; Into the Long Night; The Dungeon of Doom; The Grand City of Aylor
A Genie's Last Wish,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
A Magical Hodgepodge,-,The Infestation
A Peaceful Giant Village,-,The Mountains of Desolation
Aardington Estate,The Continent of Mesolar (The Continent of Mesolar),Hedgehogs' Paradise
Aardwolf Birthday Area,-,The Grand City of Aylor
Aardwolf Estates 2000,The Continent of Mesolar (The Continent of Mesolar),Crossroads of Fortune; Faerie Tales; Mountain View Estates; Prairie Village Estates; Realm of the Sacred Flame; Seaside Height Estates; Shady Acres Estates; Tanra'vea; The Grand City of Aylor; The Nyne Woods; The Realm of Infamy
Aardwolf Winter Festival 2008,-,(no exits to other areas)
Aardwolf Zoological Park,The Continent of Mesolar (The Continent of Mesolar),Giant's Pet Store
Adventures in Sendhia,-,"Vidblain, the Ever Dark"
Aerial City of Cineko,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Afterglow,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
All in a Fayke Day,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
Ancient Greece,The Southern Ocean (The Southern Ocean),Seven Wonders; The Great City of Knossos
Andolor's Ocean Adventure Park,The Uncharted Oceans (The Uncharted Oceans),(no exits to other areas)
Annwn,The Southern Ocean (The Southern Ocean),(no exits to other areas)
Anthrox,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Arboretum,Gelidus (Gelidus),(no exits to other areas)
Arboria,-,(no exits to other areas)
Arisian Realm,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
Art of Melody,-,The Grand City of Aylor
Artificer's Mayhem,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
Ascension Bluff Nursing Home,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
Atlantis,The Southern Ocean (The Southern Ocean),(no exits to other areas)
Avian Kingdom,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
Battlefields of Adaldar,The Continent of Mesolar (The Continent of Mesolar),(no exits to other areas)
Black Claw Crag,-,(no exits to other areas)
Black Lagoon,Gelidus (Gelidus),(no exits to other areas)
Black Rose,"The Dark Continent, Abend (The Dark Continent, Abend)",(no exits to other areas)
Bloodlust Dungeon,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
Brightsea and Glimmerdim,The Continent of Mesolar (The Continent of Mesolar),Rebellion of the Nix
Canyon Memorial Hospital,Gelidus (Gelidus),(no exits to other areas)
Castle Reinhold,-,(no exits to other areas)
Castle Vlad-Shamir,"Alagh, the Blood Lands (Alagh, the Blood Lands)",(no exits to other areas)
Cathedral of the Elements,-,The Grand City of Aylor
